,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(1.0432, device='cuda:0')","tensor(0.4984, device='cuda:0')","tensor(1.4071, device='cuda:0')","tensor(2.6168, device='cuda:0')","tensor(0.1794, device='cuda:0')","tensor(5.7449, device='cuda:0')"
0,"tensor(1.0522, device='cuda:0')","tensor(0.2204, device='cuda:0')","tensor(1.4604, device='cuda:0')","tensor(1.1389, device='cuda:0')","tensor(0.0799, device='cuda:0')","tensor(3.9517, device='cuda:0')"
0,"tensor(1.0951, device='cuda:0')","tensor(0.1477, device='cuda:0')","tensor(1.8554, device='cuda:0')","tensor(0.9942, device='cuda:0')","tensor(0.0654, device='cuda:0')","tensor(4.1579, device='cuda:0')"
0,"tensor(1.0852, device='cuda:0')","tensor(0.2207, device='cuda:0')","tensor(1.7355, device='cuda:0')","tensor(1.2868, device='cuda:0')","tensor(0.0796, device='cuda:0')","tensor(4.4078, device='cuda:0')"
0,"tensor(1.0640, device='cuda:0')","tensor(0.1713, device='cuda:0')","tensor(1.9876, device='cuda:0')","tensor(0.2359, device='cuda:0')","tensor(0.0162, device='cuda:0')","tensor(3.4750, device='cuda:0')"
0,"tensor(0.9910, device='cuda:0')","tensor(0.2843, device='cuda:0')","tensor(1.6394, device='cuda:0')","tensor(1.6165, device='cuda:0')","tensor(0.1293, device='cuda:0')","tensor(4.6605, device='cuda:0')"
0,"tensor(0.9519, device='cuda:0')","tensor(0.3478, device='cuda:0')","tensor(2.0167, device='cuda:0')","tensor(1.5434, device='cuda:0')","tensor(0.1163, device='cuda:0')","tensor(4.9761, device='cuda:0')"
0,"tensor(0.8598, device='cuda:0')","tensor(0.2182, device='cuda:0')","tensor(1.1395, device='cuda:0')","tensor(1.0037, device='cuda:0')","tensor(0.1253, device='cuda:0')","tensor(3.3466, device='cuda:0')"
0,"tensor(0.8320, device='cuda:0')","tensor(0.4271, device='cuda:0')","tensor(1.0975, device='cuda:0')","tensor(1.4708, device='cuda:0')","tensor(0.1859, device='cuda:0')","tensor(4.0133, device='cuda:0')"
0,"tensor(0.7273, device='cuda:0')","tensor(0.2855, device='cuda:0')","tensor(1.2420, device='cuda:0')","tensor(0.4346, device='cuda:0')","tensor(0.0597, device='cuda:0')","tensor(2.7491, device='cuda:0')"
0,"tensor(0.6606, device='cuda:0')","tensor(0.2683, device='cuda:0')","tensor(0.9875, device='cuda:0')","tensor(0.3691, device='cuda:0')","tensor(0.0468, device='cuda:0')","tensor(2.3323, device='cuda:0')"
0,"tensor(0.6533, device='cuda:0')","tensor(0.2762, device='cuda:0')","tensor(1.1315, device='cuda:0')","tensor(0.3449, device='cuda:0')","tensor(0.0540, device='cuda:0')","tensor(2.4599, device='cuda:0')"
0,"tensor(0.6984, device='cuda:0')","tensor(0.5521, device='cuda:0')","tensor(0.9412, device='cuda:0')","tensor(0.2059, device='cuda:0')","tensor(0.0934, device='cuda:0')","tensor(2.4909, device='cuda:0')"
