,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(1.1280, device='cuda:0')","tensor(0.0226, device='cuda:0')","tensor(0.7246, device='cuda:0')","tensor(0.6956, device='cuda:0')","tensor(0.0251, device='cuda:0')","tensor(2.5958, device='cuda:0')"
0,"tensor(1.1227, device='cuda:0')","tensor(0.1622, device='cuda:0')","tensor(0.7764, device='cuda:0')","tensor(0.6936, device='cuda:0')","tensor(0.2383, device='cuda:0')","tensor(2.9932, device='cuda:0')"
0,"tensor(1.1195, device='cuda:0')","tensor(0.0228, device='cuda:0')","tensor(0.6952, device='cuda:0')","tensor(0.6950, device='cuda:0')","tensor(0.1048, device='cuda:0')","tensor(2.6373, device='cuda:0')"
0,"tensor(1.1198, device='cuda:0')","tensor(0.0229, device='cuda:0')","tensor(0.6992, device='cuda:0')","tensor(0.6954, device='cuda:0')","tensor(0.1400, device='cuda:0')","tensor(2.6773, device='cuda:0')"
0,"tensor(1.1252, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(0.7820, device='cuda:0')","tensor(0.6957, device='cuda:0')","tensor(0.0217, device='cuda:0')","tensor(2.6287, device='cuda:0')"
0,"tensor(1.1133, device='cuda:0')","tensor(0.0192, device='cuda:0')","tensor(0.8378, device='cuda:0')","tensor(0.6949, device='cuda:0')","tensor(0.0388, device='cuda:0')","tensor(2.7039, device='cuda:0')"
0,"tensor(1.1204, device='cuda:0')","tensor(1.0106e-05, device='cuda:0')","tensor(0.5599, device='cuda:0')","tensor(0.6957, device='cuda:0')","tensor(0.0336, device='cuda:0')","tensor(2.4096, device='cuda:0')"
0,"tensor(1.1156, device='cuda:0')","tensor(0.0551, device='cuda:0')","tensor(0.6980, device='cuda:0')","tensor(0.6948, device='cuda:0')","tensor(0.1112, device='cuda:0')","tensor(2.6747, device='cuda:0')"
0,"tensor(1.1110, device='cuda:0')","tensor(0.0127, device='cuda:0')","tensor(0.6490, device='cuda:0')","tensor(0.6950, device='cuda:0')","tensor(0.2106, device='cuda:0')","tensor(2.6783, device='cuda:0')"
0,"tensor(1.1084, device='cuda:0')","tensor(0.0819, device='cuda:0')","tensor(0.7239, device='cuda:0')","tensor(0.6942, device='cuda:0')","tensor(0.0873, device='cuda:0')","tensor(2.6958, device='cuda:0')"
0,"tensor(1.1035, device='cuda:0')","tensor(0.1234, device='cuda:0')","tensor(0.6606, device='cuda:0')","tensor(0.6936, device='cuda:0')","tensor(0.1900, device='cuda:0')","tensor(2.7711, device='cuda:0')"
0,"tensor(1.0951, device='cuda:0')","tensor(0.0844, device='cuda:0')","tensor(0.5914, device='cuda:0')","tensor(0.6939, device='cuda:0')","tensor(0.1295, device='cuda:0')","tensor(2.5943, device='cuda:0')"
0,"tensor(1.0834, device='cuda:0')","tensor(0.0428, device='cuda:0')","tensor(0.6047, device='cuda:0')","tensor(0.6939, device='cuda:0')","tensor(0.1362, device='cuda:0')","tensor(2.5610, device='cuda:0')"
0,"tensor(1.0886, device='cuda:0')","tensor(0.1510, device='cuda:0')","tensor(0.6541, device='cuda:0')","tensor(0.6944, device='cuda:0')","tensor(0.1189, device='cuda:0')","tensor(2.7069, device='cuda:0')"
0,"tensor(1.0833, device='cuda:0')","tensor(0.0543, device='cuda:0')","tensor(0.6658, device='cuda:0')","tensor(0.6943, device='cuda:0')","tensor(0.0709, device='cuda:0')","tensor(2.5687, device='cuda:0')"
0,"tensor(1.0669, device='cuda:0')","tensor(0.0418, device='cuda:0')","tensor(0.5896, device='cuda:0')","tensor(0.6948, device='cuda:0')","tensor(0.1082, device='cuda:0')","tensor(2.5014, device='cuda:0')"
0,"tensor(1.0726, device='cuda:0')","tensor(0.0217, device='cuda:0')","tensor(0.6176, device='cuda:0')","tensor(0.6941, device='cuda:0')","tensor(0.1023, device='cuda:0')","tensor(2.5084, device='cuda:0')"
0,"tensor(1.0606, device='cuda:0')","tensor(0.0423, device='cuda:0')","tensor(0.5594, device='cuda:0')","tensor(0.6942, device='cuda:0')","tensor(0.0777, device='cuda:0')","tensor(2.4341, device='cuda:0')"
0,"tensor(1.0389, device='cuda:0')","tensor(0.0130, device='cuda:0')","tensor(0.5370, device='cuda:0')","tensor(0.6946, device='cuda:0')","tensor(0.1668, device='cuda:0')","tensor(2.4503, device='cuda:0')"
0,"tensor(1.0505, device='cuda:0')","tensor(2.0065e-06, device='cuda:0')","tensor(0.4384, device='cuda:0')","tensor(0.6934, device='cuda:0')","tensor(0.0088, device='cuda:0')","tensor(2.1911, device='cuda:0')"
0,"tensor(1.0369, device='cuda:0')","tensor(0.0704, device='cuda:0')","tensor(0.6225, device='cuda:0')","tensor(0.6941, device='cuda:0')","tensor(0.1896, device='cuda:0')","tensor(2.6134, device='cuda:0')"
0,"tensor(1.0253, device='cuda:0')","tensor(0.0141, device='cuda:0')","tensor(0.4688, device='cuda:0')","tensor(0.6932, device='cuda:0')","tensor(0.0269, device='cuda:0')","tensor(2.2283, device='cuda:0')"
0,"tensor(1.0101, device='cuda:0')","tensor(0.0566, device='cuda:0')","tensor(0.5487, device='cuda:0')","tensor(0.6937, device='cuda:0')","tensor(0.1048, device='cuda:0')","tensor(2.4139, device='cuda:0')"
0,"tensor(1.0048, device='cuda:0')","tensor(0.0373, device='cuda:0')","tensor(0.6226, device='cuda:0')","tensor(0.6930, device='cuda:0')","tensor(0.0495, device='cuda:0')","tensor(2.4071, device='cuda:0')"
0,"tensor(0.9936, device='cuda:0')","tensor(0.0783, device='cuda:0')","tensor(0.6049, device='cuda:0')","tensor(0.6928, device='cuda:0')","tensor(0.1407, device='cuda:0')","tensor(2.5103, device='cuda:0')"
0,"tensor(0.9918, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.4198, device='cuda:0')","tensor(0.6933, device='cuda:0')","tensor(0.0338, device='cuda:0')","tensor(2.1395, device='cuda:0')"
0,"tensor(0.9936, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.5978, device='cuda:0')","tensor(0.6920, device='cuda:0')","tensor(0.0438, device='cuda:0')","tensor(2.3295, device='cuda:0')"
0,"tensor(0.9633, device='cuda:0')","tensor(0.0246, device='cuda:0')","tensor(0.4860, device='cuda:0')","tensor(0.6924, device='cuda:0')","tensor(0.1709, device='cuda:0')","tensor(2.3371, device='cuda:0')"
0,"tensor(0.9582, device='cuda:0')","tensor(0.0231, device='cuda:0')","tensor(0.5870, device='cuda:0')","tensor(0.6924, device='cuda:0')","tensor(0.0928, device='cuda:0')","tensor(2.3535, device='cuda:0')"
0,"tensor(0.9512, device='cuda:0')","tensor(0.0161, device='cuda:0')","tensor(0.6413, device='cuda:0')","tensor(0.6915, device='cuda:0')","tensor(0.0373, device='cuda:0')","tensor(2.3375, device='cuda:0')"
0,"tensor(0.9560, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.5131, device='cuda:0')","tensor(0.6919, device='cuda:0')","tensor(0.0267, device='cuda:0')","tensor(2.1898, device='cuda:0')"
0,"tensor(0.9212, device='cuda:0')","tensor(0.0329, device='cuda:0')","tensor(0.5565, device='cuda:0')","tensor(0.6925, device='cuda:0')","tensor(0.1924, device='cuda:0')","tensor(2.3956, device='cuda:0')"
0,"tensor(0.9102, device='cuda:0')","tensor(0.0032, device='cuda:0')","tensor(0.5009, device='cuda:0')","tensor(0.6916, device='cuda:0')","tensor(0.0885, device='cuda:0')","tensor(2.1942, device='cuda:0')"
0,"tensor(0.8981, device='cuda:0')","tensor(2.1552e-06, device='cuda:0')","tensor(0.4591, device='cuda:0')","tensor(0.6904, device='cuda:0')","tensor(0.0079, device='cuda:0')","tensor(2.0556, device='cuda:0')"
0,"tensor(0.8773, device='cuda:0')","tensor(0.0296, device='cuda:0')","tensor(0.5030, device='cuda:0')","tensor(0.6923, device='cuda:0')","tensor(0.1406, device='cuda:0')","tensor(2.2428, device='cuda:0')"
0,"tensor(0.8536, device='cuda:0')","tensor(0.0437, device='cuda:0')","tensor(0.5915, device='cuda:0')","tensor(0.6902, device='cuda:0')","tensor(0.0333, device='cuda:0')","tensor(2.2123, device='cuda:0')"
0,"tensor(0.8594, device='cuda:0')","tensor(0.0143, device='cuda:0')","tensor(0.6076, device='cuda:0')","tensor(0.6902, device='cuda:0')","tensor(0.0838, device='cuda:0')","tensor(2.2553, device='cuda:0')"
0,"tensor(0.8501, device='cuda:0')","tensor(0.0398, device='cuda:0')","tensor(0.6117, device='cuda:0')","tensor(0.6892, device='cuda:0')","tensor(0.0525, device='cuda:0')","tensor(2.2433, device='cuda:0')"
0,"tensor(0.8294, device='cuda:0')","tensor(0.0390, device='cuda:0')","tensor(0.6142, device='cuda:0')","tensor(0.6899, device='cuda:0')","tensor(0.0894, device='cuda:0')","tensor(2.2618, device='cuda:0')"
0,"tensor(0.7944, device='cuda:0')","tensor(0.0527, device='cuda:0')","tensor(0.7324, device='cuda:0')","tensor(0.6887, device='cuda:0')","tensor(0.0667, device='cuda:0')","tensor(2.3349, device='cuda:0')"
0,"tensor(0.7125, device='cuda:0')","tensor(0.0178, device='cuda:0')","tensor(0.5035, device='cuda:0')","tensor(0.6903, device='cuda:0')","tensor(0.1795, device='cuda:0')","tensor(2.1036, device='cuda:0')"
0,"tensor(0.7130, device='cuda:0')","tensor(0.0452, device='cuda:0')","tensor(0.5639, device='cuda:0')","tensor(0.6904, device='cuda:0')","tensor(0.1420, device='cuda:0')","tensor(2.1545, device='cuda:0')"
0,"tensor(0.7169, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(0.4885, device='cuda:0')","tensor(0.6868, device='cuda:0')","tensor(0.0255, device='cuda:0')","tensor(1.9230, device='cuda:0')"
0,"tensor(0.6978, device='cuda:0')","tensor(0.1254, device='cuda:0')","tensor(0.6331, device='cuda:0')","tensor(0.6875, device='cuda:0')","tensor(0.1096, device='cuda:0')","tensor(2.2533, device='cuda:0')"
0,"tensor(0.6258, device='cuda:0')","tensor(0.0107, device='cuda:0')","tensor(0.4894, device='cuda:0')","tensor(0.6881, device='cuda:0')","tensor(0.1603, device='cuda:0')","tensor(1.9743, device='cuda:0')"
0,"tensor(0.5840, device='cuda:0')","tensor(0.0062, device='cuda:0')","tensor(0.4959, device='cuda:0')","tensor(0.6851, device='cuda:0')","tensor(0.0632, device='cuda:0')","tensor(1.8344, device='cuda:0')"
0,"tensor(0.6122, device='cuda:0')","tensor(0.0718, device='cuda:0')","tensor(0.6086, device='cuda:0')","tensor(0.6864, device='cuda:0')","tensor(0.1045, device='cuda:0')","tensor(2.0835, device='cuda:0')"
0,"tensor(0.4728, device='cuda:0')","tensor(3.5033e-05, device='cuda:0')","tensor(0.4748, device='cuda:0')","tensor(0.6847, device='cuda:0')","tensor(0.0809, device='cuda:0')","tensor(1.7132, device='cuda:0')"
0,"tensor(0.4577, device='cuda:0')","tensor(0.0146, device='cuda:0')","tensor(0.6187, device='cuda:0')","tensor(0.6817, device='cuda:0')","tensor(0.0249, device='cuda:0')","tensor(1.7975, device='cuda:0')"
0,"tensor(0.4022, device='cuda:0')","tensor(0.0124, device='cuda:0')","tensor(0.4376, device='cuda:0')","tensor(0.6797, device='cuda:0')","tensor(0.0221, device='cuda:0')","tensor(1.5540, device='cuda:0')"
0,"tensor(0.4693, device='cuda:0')","tensor(0.0686, device='cuda:0')","tensor(0.5718, device='cuda:0')","tensor(0.6832, device='cuda:0')","tensor(0.1374, device='cuda:0')","tensor(1.9303, device='cuda:0')"
0,"tensor(0.3260, device='cuda:0')","tensor(0.0104, device='cuda:0')","tensor(0.7541, device='cuda:0')","tensor(0.6752, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(1.7737, device='cuda:0')"
0,"tensor(0.3108, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(0.5513, device='cuda:0')","tensor(0.6739, device='cuda:0')","tensor(0.0607, device='cuda:0')","tensor(1.6037, device='cuda:0')"
0,"tensor(0.3607, device='cuda:0')","tensor(0.0003, device='cuda:0')","tensor(0.5103, device='cuda:0')","tensor(0.6757, device='cuda:0')","tensor(0.0641, device='cuda:0')","tensor(1.6111, device='cuda:0')"
0,"tensor(0.3057, device='cuda:0')","tensor(0.0004, device='cuda:0')","tensor(0.4424, device='cuda:0')","tensor(0.6703, device='cuda:0')","tensor(0.0902, device='cuda:0')","tensor(1.5090, device='cuda:0')"
0,"tensor(0.2313, device='cuda:0')","tensor(0.0001, device='cuda:0')","tensor(0.4243, device='cuda:0')","tensor(0.6604, device='cuda:0')","tensor(0.0266, device='cuda:0')","tensor(1.3427, device='cuda:0')"
0,"tensor(0.2968, device='cuda:0')","tensor(0.0349, device='cuda:0')","tensor(0.6382, device='cuda:0')","tensor(0.6644, device='cuda:0')","tensor(0.0786, device='cuda:0')","tensor(1.7128, device='cuda:0')"
0,"tensor(0.2128, device='cuda:0')","tensor(0.0005, device='cuda:0')","tensor(0.5168, device='cuda:0')","tensor(0.6552, device='cuda:0')","tensor(0.0812, device='cuda:0')","tensor(1.4664, device='cuda:0')"
0,"tensor(0.2122, device='cuda:0')","tensor(0.0159, device='cuda:0')","tensor(0.6110, device='cuda:0')","tensor(0.6572, device='cuda:0')","tensor(0.1170, device='cuda:0')","tensor(1.6134, device='cuda:0')"
0,"tensor(0.2229, device='cuda:0')","tensor(0.0117, device='cuda:0')","tensor(0.5010, device='cuda:0')","tensor(0.6508, device='cuda:0')","tensor(0.0998, device='cuda:0')","tensor(1.4862, device='cuda:0')"
0,"tensor(0.1795, device='cuda:0')","tensor(0.0197, device='cuda:0')","tensor(0.5247, device='cuda:0')","tensor(0.6365, device='cuda:0')","tensor(0.0532, device='cuda:0')","tensor(1.4136, device='cuda:0')"
0,"tensor(0.3192, device='cuda:0')","tensor(0.0278, device='cuda:0')","tensor(0.6066, device='cuda:0')","tensor(0.6538, device='cuda:0')","tensor(0.1687, device='cuda:0')","tensor(1.7760, device='cuda:0')"
0,"tensor(0.4722, device='cuda:0')","tensor(0.0954, device='cuda:0')","tensor(0.5933, device='cuda:0')","tensor(0.6594, device='cuda:0')","tensor(0.1997, device='cuda:0')","tensor(2.0200, device='cuda:0')"
0,"tensor(0.1761, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(0.5361, device='cuda:0')","tensor(0.6444, device='cuda:0')","tensor(0.2019, device='cuda:0')","tensor(1.5743, device='cuda:0')"
0,"tensor(0.2003, device='cuda:0')","tensor(0.0429, device='cuda:0')","tensor(0.6253, device='cuda:0')","tensor(0.6363, device='cuda:0')","tensor(0.1138, device='cuda:0')","tensor(1.6187, device='cuda:0')"
0,"tensor(0.1983, device='cuda:0')","tensor(0.0251, device='cuda:0')","tensor(0.4914, device='cuda:0')","tensor(0.6368, device='cuda:0')","tensor(0.1024, device='cuda:0')","tensor(1.4540, device='cuda:0')"
0,"tensor(0.3223, device='cuda:0')","tensor(0.1210, device='cuda:0')","tensor(0.6074, device='cuda:0')","tensor(0.6323, device='cuda:0')","tensor(0.1009, device='cuda:0')","tensor(1.7840, device='cuda:0')"
0,"tensor(0.2515, device='cuda:0')","tensor(0.0463, device='cuda:0')","tensor(0.5419, device='cuda:0')","tensor(0.6308, device='cuda:0')","tensor(0.0912, device='cuda:0')","tensor(1.5616, device='cuda:0')"
0,"tensor(0.1947, device='cuda:0')","tensor(0.0093, device='cuda:0')","tensor(0.3868, device='cuda:0')","tensor(0.6176, device='cuda:0')","tensor(0.0661, device='cuda:0')","tensor(1.2744, device='cuda:0')"
0,"tensor(0.3516, device='cuda:0')","tensor(0.1095, device='cuda:0')","tensor(0.5150, device='cuda:0')","tensor(0.6434, device='cuda:0')","tensor(0.2059, device='cuda:0')","tensor(1.8254, device='cuda:0')"
0,"tensor(0.2165, device='cuda:0')","tensor(0.0298, device='cuda:0')","tensor(0.6303, device='cuda:0')","tensor(0.6101, device='cuda:0')","tensor(0.0813, device='cuda:0')","tensor(1.5681, device='cuda:0')"
0,"tensor(0.3634, device='cuda:0')","tensor(0.0959, device='cuda:0')","tensor(0.5111, device='cuda:0')","tensor(0.6303, device='cuda:0')","tensor(0.1602, device='cuda:0')","tensor(1.7608, device='cuda:0')"
0,"tensor(0.2544, device='cuda:0')","tensor(0.0396, device='cuda:0')","tensor(0.5285, device='cuda:0')","tensor(0.6176, device='cuda:0')","tensor(0.1455, device='cuda:0')","tensor(1.5856, device='cuda:0')"
0,"tensor(0.1787, device='cuda:0')","tensor(0.0488, device='cuda:0')","tensor(0.5330, device='cuda:0')","tensor(0.5768, device='cuda:0')","tensor(0.0332, device='cuda:0')","tensor(1.3705, device='cuda:0')"
